X,Y
2.714,-0.015
2.716,-0.115
2.718,-0.135
2.72,-0.155
2.722,-0.05
2.724,-0.03
2.726,-0.08
2.728,-0.14
2.73,-0.09
2.732,-0.005
2.734,-0.055
2.736,-0.145
2.738,-0.155
2.74,-0.16
2.742,-0.105
2.744,-0.03
2.746,-0.02
2.748,0.005
2.75,-0.005
2.752,-0.015
2.754,-0.065
2.756,-0.115
2.758,-0.085
2.76,-0.145
2.762,-0.075
2.764,-0.075
2.766,-0.06
2.768,-0.03
2.77,0.045
2.772,-0.025
2.774,-0.095
2.776,-0.065
2.778,-0.045
2.78,-0.095
2.782,0.005
2.784,-0.09
2.786,-0.09
2.788,-0.005
2.79,0.02
2.792,-0.07
2.794,-0.11
2.796,-0.12
2.798,-0.155
2.8,-0.135
2.802,-0.14
2.804,-0.075
2.806,-0.005
2.808,-0.025
2.81,-0.055
2.812,-0.015
2.814,-0.03
2.816,-0.11
2.818,-0.125
2.82,-0.085
2.822,-0.13
2.824,-0.105
2.826,-0.01
2.828,0.07
2.83,0.005
2.832,-0.035
2.834,-0.095
2.836,-0.165
2.838,-0.08
2.84,-0.185
2.842,-0.155
2.844,-0.07
2.846,-0.035
2.848,-0.04
2.85,-0.02
2.852,-0.025
2.854,-0.09
2.856,-0.2
2.858,-0.095
2.86,-0.09
2.862,-0.085
2.864,-0.02
2.866,-0.01
2.868,-0.045
2.87,-0.055
2.872,-0.07
2.874,-0.12
2.876,-0.15
2.878,-0.21
2.88,-0.21
2.882,0
2.884,-0.005
2.886,-0.015
2.888,-0.035
2.89,0
2.892,-0.03
2.894,-0.13
2.896,-0.165
2.898,-0.185
2.9,-0.145
2.902,-0.1
2.904,-0.145
2.906,-0.165
2.908,-0.125
2.91,0.06
2.912,0.02
2.914,-0.055
2.916,-0.125
2.918,-0.11
2.92,-0.145
2.922,-0.14
2.924,-0.095
2.926,-0.025
2.928,-0.01
2.93,-0.02
2.932,-0.105
2.934,-0.145
2.936,-0.11
2.938,-0.125
2.94,-0.08
2.942,-0.02
2.944,0.035
2.946,0.005
2.948,-0.05
2.95,-0.03
2.952,-0.095
2.954,-0.07
2.956,-0.09
2.958,-0.24
2.96,-0.17
2.962,-0.045
2.964,-0.01
2.966,-0.01
2.968,-0.02
2.97,-0.02
2.972,-0.03
2.974,-0.095
2.976,-0.12
2.978,-0.12
2.98,-0.105
2.982,-0.105
2.984,0.01
2.986,0.065
2.988,0.085
2.99,0.05
2.992,-0.005
2.994,-0.09
2.996,-0.135
2.998,-0.035
3,-0.005
3.002,0
3.004,0.02
3.006,0.05
3.008,0.03
3.01,0.025
3.012,0.05
3.014,-0.045
3.016,-0.02
3.018,-0.105
3.02,-0.195
3.022,-0.17
3.024,-0.11
3.026,-0.035
3.028,0.005
3.03,-0.03
3.032,-0.05
3.034,-0.095
3.036,-0.155
3.038,-0.255
3.04,-0.215
3.042,-0.17
3.044,-0.02
3.046,0.11
3.048,0.055
3.05,0
3.052,-0.08
3.054,-0.105
3.056,-0.165
3.058,-0.13
3.06,-0.07
3.062,-0.07
3.064,-0.095
3.066,-0.075
3.068,-0.005
3.07,-0.015
3.072,-0.05
3.074,-0.17
3.076,-0.15
3.078,-0.16
3.08,-0.18
3.082,-0.105
3.084,-0.05
3.086,-0.04
3.088,0.025
3.09,-0.09
3.092,-0.11
3.094,-0.105
3.096,-0.14
3.098,-0.16
3.1,-0.095
3.102,-0.07
3.104,-0.04
3.106,-0.08
3.108,-0.09
3.11,-0.105
3.112,-0.165
3.114,-0.24
3.116,-0.26
3.118,-0.205
3.12,-0.19
3.122,-0.04
3.124,-0.02
3.126,0.095
3.128,0.225
3.13,0.23
3.132,0.31
3.134,0.295
3.136,0.39
3.138,0.6
3.14,0.715
3.142,0.845
3.144,0.83
3.146,0.815
3.148,0.755
3.15,0.62
3.152,0.47
3.154,0.455
3.156,0.39
3.158,0.205
3.16,0.02
3.162,-0.01
3.164,-0.105
3.166,-0.065
3.168,-0.05
3.17,-0.12
3.172,-0.12
3.174,-0.145
3.176,-0.12
3.178,-0.07
3.18,-0.045
3.182,-0.02
3.184,-0.075
3.186,-0.02
3.188,-0.015
3.19,0
3.192,0.035
3.194,-0.07
3.196,-0.12
3.198,-0.105
3.2,-0.045
3.202,-0.015
3.204,-0.03
3.206,-0.125
3.208,-0.16
3.21,-0.04
3.212,-0.09
3.214,-0.125
3.216,-0.055
3.218,-0.05
3.22,-0.095
3.222,-0.035
3.224,0.01
3.226,0.045
3.228,-0.06
3.23,-0.13
3.232,-0.055
3.234,0
3.236,-0.055
3.238,-0.11
3.24,-0.12
3.242,0.04
3.244,0.12
3.246,0.085
3.248,0.05
3.25,0.05
3.252,-0.005
3.254,-0.02
3.256,0.015
3.258,-0.145
3.26,-0.13
3.262,0.05
3.264,0.075
3.266,0.045
3.268,0.04
3.27,-0.025
3.272,-0.105
3.274,-0.135
3.276,0
3.278,0.01
3.28,-0.05
3.282,0.02
3.284,0.06
3.286,0.085
3.288,0.05
3.29,0.025
3.292,0.085
3.294,-0.03
3.296,-0.035
3.298,-0.045
3.3,-0.025
3.302,0.06
3.304,0.05
3.306,0.09
3.308,0.14
3.31,0.145
3.312,0.045
3.314,0.1
3.316,0.065
3.318,0.11
3.32,0.1
3.322,0.185
3.324,0.195
3.326,0.165
3.328,0.215
3.33,0.14
3.332,0.075
3.334,0.15
3.336,0.09
3.338,0.165
3.34,0.225
3.342,0.235
3.344,0.22
3.346,0.23
3.348,0.16
3.35,0.09
3.352,0.26
